Index,Strike,Dip,Rake,Misfit,Extra
129,78,28,86,0.000392270514954,"[35, 'NewGudkova', 318553, array([ 0.21388232,  2.04453114, -0.94996629]), array([ 0.09420166,  0.90298272, -0.41922339])]"
272,170,10,152,0.00108224899475,"[35, 'NewGudkova', 689566, array([ 0.27178684,  2.58940257, -1.19935082]), array([ 0.09420166,  0.90298272, -0.41922339])]"
98,62,40,80,0.00207347845846,"[35, 'NewGudkova', 254830, array([ 0.24468352,  2.36610411, -1.1039006 ]), array([ 0.09420166,  0.90298272, -0.41922339])]"
242,152,10,138,0.00240563398619,"[35, 'NewGudkova', 616659, array([ 0.25319435,  2.42549204, -1.11897168]), array([ 0.09420166,  0.90298272, -0.41922339])]"
284,176,10,156,0.00270566409553,"[35, 'NewGudkova', 713868, array([ 0.28604405,  2.67993379, -1.23922033]), array([ 0.09420166,  0.90298272, -0.41922339])]"
258,162,10,146,0.00304276534403,"[35, 'NewGudkova', 657163, array([ 0.26025075,  2.50630572, -1.15433888]), array([ 0.09420166,  0.90298272, -0.41922339])]"
245,154,10,140,0.00310002921552,"[35, 'NewGudkova', 624760, array([ 0.25114578,  2.4129282 , -1.129326  ]), array([ 0.09420166,  0.90298272, -0.41922339])]"
195,120,12,112,0.00310104994977,"[35, 'NewGudkova', 487226, array([ 0.23786208,  2.2263023 , -1.02811231]), array([ 0.09420166,  0.90298272, -0.41922339])]"
132,80,26,86,0.00343433334435,"[35, 'NewGudkova', 326473, array([ 0.22133455,  2.06034158, -0.95181703]), array([ 0.09420166,  0.90298272, -0.41922339])]"
155,94,20,96,0.00377877189275,"[35, 'NewGudkova', 382638, array([ 0.19656179,  1.9582365 , -0.9119094 ]), array([ 0.09420166,  0.90298272, -0.41922339])]"
19,12,68,68,0.00378817397478,"[35, 'NewGudkova', 54844, array([ 0.43271549,  4.32243511, -2.00522189]), array([ 0.09420166,  0.90298272, -0.41922339])]"
83,54,46,78,0.00385748980895,"[35, 'NewGudkova', 222969, array([ 0.26841053,  2.66041988, -1.22720714]), array([ 0.09420166,  0.90298272, -0.41922339])]"
101,64,38,80,0.00396878565787,"[35, 'NewGudkova', 262750, array([ 0.24473005,  2.31066632, -1.08339713]), array([ 0.09420166,  0.90298272, -0.41922339])]"
191,118,12,110,0.00397279674944,"[35, 'NewGudkova', 479125, array([ 0.24262122,  2.23277657, -1.03919395]), array([ 0.09420166,  0.90298272, -0.41922339])]"
95,60,42,80,0.00403062056836,"[35, 'NewGudkova', 246910, array([ 0.24573826,  2.43281262, -1.12104295]), array([ 0.09420166,  0.90298272, -0.41922339])]"
76,50,48,76,0.00419772521072,"[35, 'NewGudkova', 206948, array([ 0.2911914 ,  2.8166267 , -1.32168918]), array([ 0.09420166,  0.90298272, -0.41922339])]"
160,98,18,98,0.00436568590453,"[35, 'NewGudkova', 398659, array([ 0.20387986,  1.99546632, -0.93576785]), array([ 0.09420166,  0.90298272, -0.41922339])]"
261,164,10,148,0.00448589302195,"[35, 'NewGudkova', 665264, array([ 0.25902315,  2.49104904, -1.17009336]), array([ 0.09420166,  0.90298272, -0.41922339])]"
199,122,12,114,0.00454269980365,"[35, 'NewGudkova', 495327, array([ 0.23322765,  2.21915138, -1.01823003]), array([ 0.09420166,  0.90298272, -0.41922339])]"
125,76,30,86,0.00477697918405,"[35, 'NewGudkova', 310633, array([ 0.20738363,  2.03735623, -0.95608907]), array([ 0.09420166,  0.90298272, -0.41922339])]"
104,66,36,80,0.00479490678234,"[35, 'NewGudkova', 270670, array([ 0.24580238,  2.26683896, -1.06135785]), array([ 0.09420166,  0.90298272, -0.41922339])]"
175,106,16,104,0.00497873957336,"[35, 'NewGudkova', 430882, array([ 0.20119337,  2.01526319, -0.9280363 ]), array([ 0.09420166,  0.90298272, -0.41922339])]"
29,18,66,68,0.00517944365697,"[35, 'NewGudkova', 78964, array([ 0.44674057,  4.09192792, -1.88676348]), array([ 0.09420166,  0.90298272, -0.41922339])]"
60,40,54,72,0.00549544106871,"[35, 'NewGudkova', 166986, array([ 0.35561472,  3.23689002, -1.49444945]), array([ 0.09420166,  0.90298272, -0.41922339])]"
134,82,24,86,0.00569785000395,"[35, 'NewGudkova', 334393, array([ 0.22980417,  2.08310907, -0.96298652]), array([ 0.09420166,  0.90298272, -0.41922339])]"
55,36,56,72,0.005887681726,"[35, 'NewGudkova', 150966, array([ 0.35345362,  3.42228622, -1.6130071 ]), array([ 0.09420166,  0.90298272, -0.41922339])]"
106,68,34,80,0.00593656220871,"[35, 'NewGudkova', 278590, array([ 0.24784667,  2.23463782, -1.03965119]), array([ 0.09420166,  0.90298272, -0.41922339])]"
61,40,54,74,0.00598958745556,"[35, 'NewGudkova', 166987, array([ 0.3228792 ,  3.26548476, -1.52901081]), array([ 0.09420166,  0.90298272, -0.41922339])]"
171,104,16,102,0.00606693210157,"[35, 'NewGudkova', 422781, array([ 0.20757195,  2.02633665, -0.95501339]), array([ 0.09420166,  0.90298272, -0.41922339])]"
203,124,12,116,0.00637612020574,"[35, 'NewGudkova', 503428, array([ 0.22872422,  2.21134841, -1.0095463 ]), array([ 0.09420166,  0.90298272, -0.41922339])]"
216,134,10,122,0.00642957965815,"[35, 'NewGudkova', 543751, array([ 0.26189766,  2.3670134 , -1.10843106]), array([ 0.09420166,  0.90298272, -0.41922339])]"
218,136,10,124,0.00651867032766,"[35, 'NewGudkova', 551852, array([ 0.25855848,  2.35922567, -1.10886822]), array([ 0.09420166,  0.90298272, -0.41922339])]"
38,24,62,70,0.00681533730033,"[35, 'NewGudkova', 102905, array([ 0.38814478,  3.93602138, -1.8479112 ]), array([ 0.09420166,  0.90298272, -0.41922339])]"
214,132,10,120,0.00698728195778,"[35, 'NewGudkova', 535650, array([ 0.26537363,  2.37417129, -1.10902277]), array([ 0.09420166,  0.90298272, -0.41922339])]"
